date,title,link,department
2021/12/28,111年第1期「文化部推廣文學閱讀及人文活動補助作業—人文思想類」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH+l1h3tcPevyUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/28,110年國立臺灣工藝研究發展中心「推展工藝文化與工藝傳承計畫」補助案獲補助名單及審查委員名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53NShNGd0u0ve3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/12/28,109年度國產電影片國內行銷補助「第一類行銷策略規劃」補助案獲核定「第二類行銷宣傳活動」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCisHrwmL1k+H4U4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/12/27,110年第3次「文化部辦理發展國際數位傳播補助作業要點」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarwyezudVfsW0EmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/12/27,(110年)文化部促進民間提供適當空間供文化創意事業使用補助_補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1obLzSLfq6HNShNGd0u0vern/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
2021/12/24,(110年)「國產電影片應用數位視覺特效製作獎助案」獲獎補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2vsUeZbEOV5ZKkkT4uPCgW3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/12/22,(111年)文化部原住民村落文化發展計畫補助作業要點—核定補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqAolNcxdfnEY8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/12/21,(111年)文化部「青年村落文化行動計畫獎勵作業要點」獲獎名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqE8Ewjx6k0+zeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/12/17,110年臺灣藝術研究補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0Y1aiAIFN3gXb1LZ+pkyoMUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/12/17,111年「選送文化相關人才出國駐村交流計畫」視覺藝術類暨策展類-美國紐約ISCP駐村藝術家結果公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC8qHa1cTArrgyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/12/17,111年選送文化相關人才出國駐村交流計畫視覺藝術類暨策展類-日本滋賀縣陶藝之森結果公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC8qHa1cTArrgiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/12/17,111年「選送文化相關人才出國駐村交流計畫」視覺藝術類暨策展類-第1階段候選駐村藝術家名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC8qHa1cTArrgmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/12/16,110年度資深演藝人員參與演出電視節目補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3Jmn763pTErJaxjpWDNhxtyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/12/15,工藝影片製作計劃-擁抱,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53LlvDPYLxSPU3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/12/13,111年第一期「視覺藝術產業辦理或參加國際藝術展會」補助名單	,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH7lvDPYLxSPUUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/12/10,文化部111年「選送文化相關人才出國駐村交流計畫」 文學類第一階段審查結果公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC7lvDPYLxSPUrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/10,文化部111年「選送文化相關人才出國駐村交流計畫」 漫畫類第一階段候選名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC7lvDPYLxSPU8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2021/12/01,110年度新媒體跨平臺創意影音節目製作補助案第二梯次獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqihMW4alQCTXLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/11/30,文化部社造多元協力跨域共創補助計畫核定補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0Y1aiAIFN3gR17MTxv8EPpU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/11/30,110年度「補助入圍(選)或獲國內外重要影展獎項電影片之影視事業及導演製作下一部電影片」獲補助金電影片核定函名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1rGVoYU1zsLpOrBkPxYQxV3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/11/29,110年度電視節目製作補助案第二梯次獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqlyE98VkN9doUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/11/26,文化部博物館事業推展補助作業要點111年度獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1AYk0noR965CAtpHttQ9Ax8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/11/25,文化部推動博物館及藝術5G科技跨域應用計畫補助要點（藝術類）110-111年獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqOzMeiMM+3OuLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2021/11/25,文化部「110年文化藝術政策博碩士論文」獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0sw/gq7BByCuzMeiMM+3OuyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-綜合規劃司
2021/11/25,110年度電影短片輔導金獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2vsUeZbEOV5U4jiZe3qMfumdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/11/24,2021臺灣工藝競賽得獎名單及評審名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53BEsBLSyuGeVeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/11/23,110年第1次「文化部辦理發展國際數位傳播補助作業要點」電視節目播送英語字幕獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarwyezudVfsW0EyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/11/22,110年度「國家鐵道博物館籌備處博碩士論文研究獎助」得獎者,AwardPublish.jsp?__viewstate=KSQNMhhcbO0Y1aiAIFN3gedyYfYAmuIWUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家鐵道博物館籌備處
2021/11/18,110年度第2梯次國產電影片國內行銷補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCipOrBkPxYQxVyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/11/18,文化部推動博物館及藝術5G科技跨域應用計畫補助要點（博物館類）110-111年獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1oBJaM3x2LqEzts9MEIEVkiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化資源司
2021/11/12,110年度電視節目劇本創作獎得獎名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0c7gocXrwjqsS+b3oRvNZlU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2021/11/12,國立傳統藝術中心「110年獎助博碩士論文」獎助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO25zC57gavCiopLCy0/1hjjeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立傳統藝術中心
2021/11/09,時尚/金工跨域共研計畫講座活動計畫,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53AmwGubqBzNoLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2021/11/04,110年度國產電影片企劃及劇本開發獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2vsUeZbEOV5bmFZk/mNl6a3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-電影產業組
2021/10/21,110年「文化部選送文化相關人才出國駐村交流 計畫」影視及流行音樂類複決審名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR89yKDmE+EPCNmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
2021/10/20,110年第2次「文化部辦理發展國際數位傳播補助作業要點」獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO19FjDLNoarwyezudVfsW0ELlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-影視及流行音樂發展司
