id,value
海島演劇,2150000
佳佳百貨有限公司,2130000
遠方文化股份有限公司,2128000
好故事工作坊有限公司,2120000
意傳科技有限公司,2102100
台灣工藝之家協會,2100000
臺南市文史協會,2100000
水牛設計部落有限公司,2100000
這虎音樂有限公司,2100000
花蓮縣秀林鄉達基力文化藝術協會,2100000
思與言人文社會學社,2100000
澎湖縣生活博物館,2100000
台北影業股份有限公司,2090500
叁尚國際事業股份有限公司,2090250
國立台灣師範大學,2083277
集武躍有限公司,2080000
C-Hub成大創意基地,2060000
社團法人台灣媒體小農協會,2058000
屏東縣三地門鄉原住民文化館,2050000
南郭郡守官舍,2050000
聲色盒子有限公司,2050000
新思惟人文空間,2050000
錢穆故居,2050000
中華民國電影導演協會,2050000
西門紅樓,2050000
財團法人國語日報社,2040000
梭夢創意顧問有限公司,2035000
財團法人仰山文教基金會,2035000
莎士比亞的妹妹們的劇團,2019100
絕對藝力,2010000
共勉之企業號有限公司,2003034
百果樹紅磚屋,2000000
財團法人台北市艋舺龍山寺,2000000
文化內容策進院,2000000
財團法人慈濟傳播人文志業基金會,2000000
阿嬤家－和平與女性人權館,2000000
南投縣政府文化局,2000000
張作驥電影工作室有限公司,2000000
林見坪,2000000
財團法人音樂科技學院基金會,2000000
宜蘭縣政府文化局,2000000
陳凱翔,2000000
一路向上股份有限公司,2000000
涅所開發,2000000
連江縣政府文化處,2000000
青少年表演藝術聯盟,2000000
鏡電視股份有限公司,2000000
台北大師星秀音樂節,2000000
順益臺灣原住民博物館,2000000
社團法人中華民國表演藝術協會,2000000
乾坤劇坊,2000000
張盈慧,2000000
奧尼斯音樂有限公司,2000000
河床劇團,2000000
廖建華影像工作室,1999996
佳映娛樂國際股份有限公司,1999991
原創娛樂股份有限公司,1999988
好孩子國際娛樂有限公司,1999976
高雄市立圖書館,1970000
滯留島舞蹈劇場辦理「臺灣團隊參與2020法國外亞維儂藝術節『Factory』作品演出計畫」,1963300
台南家專學校財團法人台南應用科技大學,1960000
大溪太武新村故事館,1950000
哇大創意整合有限公司,1950000
澎湖開拓館,1950000
紅氣球書屋,1935000
國立東華大學人文社會科學院大眾史學研究中心,1925687
阮劇團,1920000
好有感覺音樂事業有限公司,1909300
社團法人東南亞教育科學文化協會,1901200
添翼文創事業有限公司,1900000
大乙傳播事業有限公司,1900000
埔心鄉地方文化館,1900000
瑯嬛書屋,1900000
新式有限公司,1900000
互為主體廣告股份有限公司,1900000
南瀛天文館,1900000
新竹縣政府縣史館,1900000
見城館,1900000
臺灣戲劇館,1900000
太古踏舞團,1890316
拾念劇集辦理「臺灣團隊參與2020法國外亞維儂藝術節『大神魃·世界之夢』作品演出計畫」,1888030
告白熾造,1887843
總爺藝文中心,1880000
肯特動畫數位獨立製片股份有限公司,1850000
大埤鄉酸菜文化館,1850000
社團法人邊邊女力協會,1850000
舊鼓山國小,1840000
新彩廣告事業有限公司,1840000
願境網訊股份有限公司,1832220
大越文創行銷有限公司,1820000
